,id,name,domain,founded_at,state_code,country_code,entity_type,category_code,funding_total_usd,milestones,industry,size range,current employee estimate,num_employees_bucket,page_rank_value
29,c:1008,Babylon,babylon.com,1997-09-04,,USA,Company,search,,2,internet,501 - 1000,176,50,1.2136035020318399e-06
30,c:10081,MicroBilt Corporation,microbilt.com,1978-10-01,GA,USA,Company,software,,1,information services,201 - 500,101,200,9.679959858448381e-08
31,c:100814,immediate future,immediatefuture.co.uk,2004-05-01,,GBR,Company,consulting,,1,marketing and advertising,11 - 50,16,1,1.61055470091045e-07
32,c:100829,Startups.co.uk,startups.co.uk,2013-05-10,,,Company,enterprise,,,publishing,11 - 50,7,200,1.3113467845106899e-06
33,c:106055,SU,startups.co.uk,,,,Company,enterprise,,,publishing,11 - 50,7,200,1.3113467845106899e-06
34,c:100844,Attunity,attunity.com,,MA,USA,Company,software,10500000,1,information technology and services,201 - 500,161,200,4.88087510344503e-07
35,c:100898,Billhighway,billhighway.co,1999-09-20,MI,USA,Company,software,,1,financial services,51 - 200,56,50,9.39144937635534e-08
36,c:100938,The Local,thelocal.com,2004-04-01,,SWE,Company,news,3933515,1,online media,51 - 200,29,50,1.0713972814253199e-07
37,c:101,SellABand,sellaband.com,2006-08-01,,DEU,Company,games_video,5000000,5,computer hardware,11 - 50,11,1,1.60876224992181e-07
39,c:1010,Gazelle,gazelle.com,2006-01-01,MA,USA,Company,ecommerce,46400000,2,internet,1 - 10,3,200,1.08207468600268e-06
42,c:10106,Thomson Reuters,thomsonreuters.com,2008-04-17,NY,USA,Company,public_relations,,4,information technology and services,5001 - 10000,2697,10000,2.2263462379135397e-05
44,c:10108,Dassnagar Infosystems,dassnagar.com,2007-10-19,,IND,Company,games_video,,,information technology and services,11 - 50,9,1,1.28522121096023e-08
45,c:10109,PeopleBrowsr,peoplebrowsr.com,2007-01-01,CA,USA,Company,web,,3,internet,11 - 50,11,50,8.244640481985159e-07
47,c:101094,Rev Worldwide,revworldwide.com,2008-01-01,TX,USA,Company,ecommerce,4815940,,financial services,11 - 50,21,1,2.8983584221007903e-08
48,c:77677,RÊV Worldwide,revworldwide.com,2008-01-01,,,Company,mobile,,,financial services,11 - 50,21,1,2.8983584221007903e-08
49,c:101102,StockLayouts,stocklayouts.com,2001-07-01,OR,USA,Company,ecommerce,,1,graphic design,1 - 10,2,1,2.2996698124905897e-07
50,c:10117,Blogcritics,blogcritics.org,2002-08-12,CA,USA,Company,web,,1,publishing,51 - 200,36,1,1.4577798619468201e-06
51,c:10119,WPP,wpp.com,1971-01-01,NY,USA,Company,public_relations,,3,marketing and advertising,1001 - 5000,1032,10000,4.08185284321462e-06
52,c:60440,WPP Digital,wpp.com,1985-01-01,,GBR,Company,other,,1,marketing and advertising,1001 - 5000,1032,10000,4.08185284321462e-06
53,c:10120,MetaPack,metapack.com,1999-01-01,,GBR,Company,software,30772029,2,computer software,201 - 500,169,200,3.20972403044839e-07
54,c:10126,Orchard Information Systems,orchard-systems.co.uk,1979-01-01,,GBR,Company,software,,,information technology and services,201 - 500,119,50,2.9827011533537206e-08
55,c:10137,Producteev,producteev.com,2008-07-08,NY,USA,Company,software,1310000,2,internet,1 - 10,1,1,3.98609362132048e-07
56,c:101472,Vintners’ Alliance,vintnersalliance.com,,,,Company,advertising,1300000,,wine and spirits,1 - 10,2,1,1.8172694536264598e-08
58,c:101481,Striiv,striiv.com,,CA,USA,Company,hardware,6000000,1,consumer electronics,11 - 50,14,1,3.7064167679766896e-07
59,c:10150,Postbox,postbox-inc.com,2007-12-01,CA,USA,Company,software,,3,computer software,1 - 10,3,1,6.071270086186971e-07
61,c:101503,MyVest,myvest.com,2001-01-01,CA,USA,Company,software,,,investment management,51 - 200,41,50,1.46933796148175e-08
62,c:101519,Vidacare,vidacare.com,,TX,USA,Company,hardware,274999,,medical devices,51 - 200,40,1,5.97302672907462e-08
63,c:10152,Contoural,contoural.com,2003-01-01,CA,USA,Company,consulting,,,information technology and services,11 - 50,8,1,1.59201529406521e-08
64,c:101527,agencyQ,agencyq.com,,WA,USA,Company,advertising,1600000,,internet,11 - 50,25,1,4.06240479866561e-08
65,c:101560,DevExpress,devexpress.com,,CA,USA,Company,software,,,computer software,201 - 500,108,200,1.91846593584435e-06
66,c:10158,StudioNow,studionow.com,2007-01-01,TN,USA,Company,photo_video,15286415,1,internet,51 - 200,70,50,1.4692933269049402e-07
67,c:10159,Brand.net,brand.net,2007-01-01,CA,USA,Company,advertising,27000000,1,online media,1 - 10,2,50,2.4565775989784304e-06
68,c:10161,Cartera Commerce,cartera.com,2005-01-01,MA,USA,Company,advertising,37570663,2,marketing and advertising,51 - 200,73,50,8.06690966987488e-08
69,c:10164,Burt,burtcorp.com,2009-03-01,,SWE,Company,advertising,3500000,3,information technology and services,51 - 200,29,1,3.65238636749635e-07
70,c:10166,Acxiom,acxiom.com,1969-01-01,AR,USA,Company,software,,2,information technology and services,5001 - 10000,2557,1000,1.00216500665731e-05
71,c:69556,SmartDM Holdings,acxiom.com,,TN,USA,Company,,,,information technology and services,5001 - 10000,2557,1000,1.00216500665731e-05
72,c:1017,earthmine,earthmine.com,2006-07-01,CA,USA,Company,enterprise,,,internet,1 - 10,1,1,5.3162735801448396e-08
75,c:10170,VideoSurf,videosurf.com,,CA,USA,Company,hardware,28000000,3,internet,1 - 10,1,1,1.65270111453811e-07
76,c:10176,Yammer,yammer.com,2008-09-10,CA,USA,Company,enterprise,142000000,3,computer software,51 - 200,88,200,5.01389579884715e-06
77,c:101779,CultStory,travelog.me,2009-09-28,,KOR,Company,software,,1,"leisure, travel & tourism",11 - 50,6,1,3.01551054646063e-08
79,c:10179,GoodGuide,goodguide.com,2007-12-01,CA,USA,Company,web,14229998,3,internet,1 - 10,5,500,9.43501263490884e-07
80,c:101893,C2FO,c2fo.com,2008-02-01,KS,USA,Company,software,27100000,1,financial services,201 - 500,150,50,1.8864170510054603e-07
81,c:101909,El Paso Corporation,elpaso.com,,TX,USA,Company,,,1,oil & energy,1 - 10,1,500,8.65951505557274e-08
82,c:10191,API Outsourcing,apifao.com,1998-01-01,MN,USA,Company,other,,1,information technology and services,11 - 50,18,50,4.52074665388942e-08
83,c:101934,TatvaSoft India,tatvasoft.com,2001-08-08,,,Company,software,,,computer software,1001 - 5000,446,500,7.83233430064755e-08
84,c:149658,TatvaSoft Global,tatvasoft.com,2001-01-01,,IND,Company,software,,1,computer software,1001 - 5000,446,500,7.83233430064755e-08
85,c:44228,TatvaSoft,tatvasoft.com,2001-09-09,,IND,Company,software,,1,computer software,1001 - 5000,446,500,7.83233430064755e-08
86,c:101955,Paranet,paranet.com,1991-01-01,TX,USA,Company,consulting,,,information technology and services,51 - 200,44,1,5.6248410327217695e-08
87,c:10199,Where I've Been,whereivebeen.com,2007-06-08,IL,USA,Company,travel,1750000,2,internet,11 - 50,7,1,4.52102018898445e-08
88,c:1020,JibJab,jibjab.com,1999-01-01,CA,USA,Company,web,17900000,4,entertainment,51 - 200,66,50,1.83356739266578e-06
90,c:10203,Clickbooth,clickbooth.com,2002-09-28,FL,USA,Company,other,,,marketing and advertising,51 - 200,69,50,4.3527910983625706e-07
91,c:102057,DashThis,dashthis.com,2011-05-01,,CAN,Company,ecommerce,,1,information technology and services,11 - 50,21,1,8.837083930676408e-07
92,c:102060,Three Point Turn,threepointturn.com,,,CAN,Company,software,,,computer software,11 - 50,11,1,1.73902507937091e-08
93,c:102068,InTopic Media,intopicmedia.com,2008-07-21,GA,USA,Company,advertising,,1,marketing and advertising,1 - 10,3,1,5.25009531098377e-09
94,c:102140,Startup Grind,startupgrind.com,2010-01-01,,,Company,,,2,internet,501 - 1000,426,1,1.68694352686343e-06
96,c:10221,Redphlag LLC,redphlag.com,2008-01-01,CA,USA,Company,consulting,,,management consulting,1 - 10,1,1,4.0442591193380804e-08
98,c:10222,Hitachi,hitachi.com,,,JPN,Company,public_relations,,3,electrical/electronic manufacturing,5001 - 10000,3296,10000,2.76150353197797e-06
99,c:10232,Unilever,unilever.com,1930-01-01,,PAK,Company,other,,2,consumer goods,10001+,58819,10000,5.68982778837568e-06
100,c:102447,Platfora,platfora.com,2011-06-01,CA,USA,Company,software,27200000,,computer software,11 - 50,15,50,9.045247848621599e-07
102,c:102449,Infrascale,infrascale.com,,CA,USA,Company,enterprise,3749964,1,information technology and services,201 - 500,115,50,1.48712690533749e-07
103,c:102468,Steelwedge Software,steelwedge.com,2000-01-01,CA,USA,Company,enterprise,16000000,1,computer software,201 - 500,182,50,4.00312026218044e-08
104,c:102498,DAD,digitalanddirect.com,,,GBR,Company,advertising,,,marketing and advertising,11 - 50,7,50,4.62523233406183e-09
105,c:1025,LIVECHAT Software,livechatinc.com,2002-01-01,,POL,Company,ecommerce,,3,computer software,51 - 200,76,50,2.21720997616773e-05
107,c:10251,InterKnowlogy,interknowlogy.com,1999-01-01,CA,USA,Company,software,,1,computer software,11 - 50,10,1,1.04531085901577e-07
108,c:10255,Instituto Politécnico de Leiria,ipleiria.pt,1980-01-01,,PRT,Company,other,,,research,1001 - 5000,358,200,3.67596145200136e-07
109,c:10256,TimeTrade Systems,timetrade.com,2000-01-01,MA,USA,Company,enterprise,12322500,3,computer software,51 - 200,71,50,4.1601764505869594e-06
110,c:10263,FMYI,fmyi.com,2004-01-28,FL,USA,Company,software,,1,internet,11 - 50,7,1,4.9457142094283095e-08
111,c:102682,Awem,awem.com,2002-01-04,,BLR,Company,games_video,,1,computer games,51 - 200,58,50,1.09813481448513e-07
112,c:10272,TRUECar,truecar.com,2005-01-01,CA,USA,Company,transportation,351600000,3,internet,501 - 1000,455,500,1.57104669621397e-06
115,c:102774,SHOP.CA,shop.ca,2011-07-01,,CAN,Company,ecommerce,26752221,1,retail,11 - 50,12,50,1.88021186137171e-07
116,c:102836,"Thru, Inc.",thruinc.com,2002-02-01,TX,USA,Company,software,14734000,1,computer software,11 - 50,25,50,5.01000659544104e-08
117,c:102849,Golfsmith,golfsmith.com,,TX,USA,Company,,125000000,1,retail,501 - 1000,394,1000,3.3508092711047e-07
118,c:102850,Golf Galaxy,golfgalaxy.com,1997-01-01,PA,USA,Company,,,,retail,501 - 1000,357,1000,5.34849919106376e-07
119,c:102851,Smitty's Dot Golf,dotgolf.com,1987-01-01,OR,USA,Company,ecommerce,,,sporting goods,1 - 10,2,1,4.63645488240145e-08
120,c:102867,WeHostels,wehostels.com,2011-11-15,NY,USA,Company,travel,1200000,3,hospitality,1 - 10,1,1,4.25968020066537e-08
121,c:10287,EDIGMA,edigma.com,2000-09-01,,PRT,Company,web,,,information technology and services,51 - 200,23,50,5.627619840804e-08
123,c:10296,InfoReach,inforeachinc.com,1995-01-01,IL,USA,Company,software,,2,information technology and services,51 - 200,26,50,2.6310785298716403e-08
132,c:103,Funny Or Die,funnyordie.com,2007-03-01,CA,USA,Company,games_video,18000000,2,entertainment,201 - 500,202,50,4.66035661149947e-06
135,c:103016,FilterBoxx Water & Environmental,filterboxx.com,,,CAN,Company,cleantech,9000000,,environmental services,51 - 200,44,200,1.1453976061536398e-08
136,c:10309,OCLC,oclc.org,1967-07-05,OH,USA,Company,other,,3,information technology and services,1001 - 5000,720,1000,1.08194389476629e-05
137,c:44930,EZproxy,oclc.org,,,,Company,web,,,information technology and services,1001 - 5000,720,1000,1.08194389476629e-05
140,c:103181,Brand Embassy,brandembassy.com,2011-07-18,,GBR,Company,public_relations,,1,computer software,51 - 200,41,50,8.622746117833249e-08
141,c:10322,Crisp Thinking,crispthinking.com,2005-11-20,,GBR,Company,software,,,information technology and services,201 - 500,118,50,2.2191930727526603e-07
142,c:103233,Guavus,guavus.com,2006-02-01,CA,USA,Company,analytics,80512816,2,computer software,201 - 500,174,200,1.4817273686274902e-07
143,c:103249,Max Bohr,maxbohr.com,2011-04-01,,IND,Company,consulting,,,computer software,11 - 50,7,1,5.2815030694442296e-09
144,c:10331,Telespree,telespree.com,1998-01-01,CA,USA,Company,software,1000000,1,telecommunications,1 - 10,3,1,9.79687862327825e-09
145,c:103405,Global Link Language Services,languagetranslate.com,1996-08-05,NY,USA,Company,other,,,translation and localization,1 - 10,4,1,6.972847105935071e-09
146,c:103477,Storymix Media,storymixmedia.com,2011-08-01,IL,USA,Company,photo_video,155000,1,media production,11 - 50,11,1,8.43667414615809e-08
149,c:103487,SwimTopia,swimtopia.com,2011-01-01,TX,USA,Company,software,,2,internet,1 - 10,4,200,4.7310392615993996e-07
150,c:10351,Webvanta,webvanta.com,2007-09-01,CA,USA,Company,public_relations,1682618,1,internet,1 - 10,0,1,3.3105100327909797e-07
151,c:10353,Rentals.com,rentals.com,,GA,USA,Company,search,,,internet,11 - 50,22,1,2.2919870103901896e-07
152,c:103690,Hydra-Electric Company,hydraelectric.com,1948-01-01,CA,USA,Company,other,,,aviation & aerospace,51 - 200,52,50,9.097422098559249e-09
153,c:103697,LiveProcess Corp.,liveprocess.com,2004-01-01,NJ,USA,Company,software,1616176,1,hospital & health care,11 - 50,8,1,1.1485027041560401e-08
155,c:103743,Cauzoom,cauzoom.com,2011-04-01,MA,USA,Company,web,,1,internet,1 - 10,0,1,8.95690247004583e-09
156,c:103764,Mightybell,mightybell.com,2010-01-01,,,Company,software,,2,internet,11 - 50,22,1,3.64817827967007e-07
157,c:1038,Rubicon Project,rubiconproject.com,2007-05-01,CA,USA,Company,advertising,60000000,5,internet,501 - 1000,351,500,1.2336875485461801e-05
159,c:103853,Habanero Consulting Group,habaneroconsulting.com,1996-01-01,,CAN,Company,consulting,,,information technology and services,51 - 200,43,50,8.44681747983472e-08
160,c:103857,UDI System,udisystem.com,2010-02-18,,IND,Company,search,,1,information technology and services,11 - 50,11,1,2.92329240241942e-08
161,c:10387,HILTI,hilti.com,,,LIE,Company,other,,2,construction,10001+,5831,1000,4.89296644590294e-07
162,c:103892,Nurun,nurun.com,,GA,USA,Company,public_relations,,1,design,501 - 1000,419,500,2.9510611874758503e-07
163,c:10392,Intela,intela.com,2006-02-02,CO,USA,Company,advertising,13250000,4,internet,11 - 50,18,1,4.58020307444728e-08
164,c:103924,Centiv Services,centiv.com,2001-01-01,IL,USA,Company,,,,marketing and advertising,51 - 200,36,500,5.22871806349522e-09
165,c:10399,SailPoint Technologies,sailpoint.com,2005-12-01,TX,USA,Company,enterprise,25830908,1,computer software,1001 - 5000,562,500,6.45030187354608e-07
166,c:103994,Split An Atom,splitanatom.com,2011-08-01,,,Company,software,,1,computer software,1 - 10,4,1,3.28639850222143e-08
167,c:104,Steorn,steorn.com,2000-01-01,,IRL,Company,web,,3,research,1 - 10,3,50,6.7662675966774e-08
169,c:10400,MeisterLabs,mindmeister.com,2007-02-05,,DEU,Company,web,,3,internet,51 - 200,23,50,2.25396806013188e-06
171,c:104013,Winestyr,winestyr.com,2010-11-16,IL,USA,Company,web,,2,wine and spirits,11 - 50,10,1,2.3553467960994397e-08
172,c:104015,Silverstreet,silverstreet.com,1999-01-01,,NLD,Company,mobile,,2,telecommunications,51 - 200,24,50,2.6033740284510297e-08
173,c:104020,Kynetic,kynetic.com,2011-09-01,,,Company,,,1,retail,1 - 10,3,500,1.4259295303374499e-08
174,c:104032,Racktop Systems,racktopsystems.com,,,,Company,network_hosting,,,information technology and services,11 - 50,20,1,3.9242084188316e-08
175,c:104057,Expert Medical Navigation,exmednav.com,2009-11-01,MA,USA,Company,medical,,2,hospital & health care,1 - 10,1,1,4.93022651208043e-09
177,c:104068,Socure,socure.com,2012-09-01,NY,USA,Company,security,1700000,2,financial services,51 - 200,35,50,2.2812811476087604e-07
178,c:104093,Bitcasa,bitcasa.com,2011-01-01,CA,USA,Company,enterprise,19500000,2,computer software,11 - 50,6,1,8.40618906924695e-07
179,c:104148,ITverse,itverse.com,2005-07-01,CA,USA,Company,software,,,information technology and services,1 - 10,1,1,6.815503220363741e-09
180,c:104151,dianomi,dianomi.com,2003-01-01,,GBR,Company,advertising,,2,marketing and advertising,11 - 50,17,1,3.35583640984316e-06
182,c:10416,Neoris,neoris.com,2000-01-01,FL,USA,Company,consulting,,1,information technology and services,1001 - 5000,2194,1000,1.19535456352632e-07
183,c:104175,QSoft Vietnam,qsoftvietnam.com,2005-09-01,,VNM,Company,software,,,computer software,51 - 200,37,50,7.830669844919029e-09
184,c:104193,Solutionary,solutionary.com,2000-01-01,NE,USA,Company,security,,,computer & network security,51 - 200,81,200,1.96268375616397e-07
185,c:104198,Integra LifeSciences Holdings,integralife.com,,NJ,USA,Company,biotech,,1,medical devices,1001 - 5000,1968,1000,3.2014490984109395e-07
186,c:104224,Balluun,balluun.com,2009-08-14,CA,USA,Company,ecommerce,8700000,2,information services,11 - 50,18,1,5.1238183958542e-08
187,c:10424,FitnessKeeper,runkeeper.com,2008-01-01,MA,USA,Company,health,11510000,4,computer software,51 - 200,30,50,2.48584809050869e-06
189,c:104253,Seven Peaks,sevenpeaks.com,,UT,USA,Company,,,,recreational facilities and services,51 - 200,33,200,3.6483198671319404e-08
190,c:104305,Globoforce,globoforce.com,,MA,USA,Company,,,,human resources,501 - 1000,321,200,1.58700164529441e-06
191,c:104321,ClickN KIDS,clicknkids.com,2003-05-23,NV,USA,Company,education,4000000,1,e-learning,1 - 10,2,1,5.65797497327868e-08
192,c:104369,MedicsPro - Medical Recruitments,medicspro.com,,,GBR,Company,other,,,staffing and recruiting,201 - 500,118,50,1.4424988720869899e-08
193,c:10437,Propertyshark,propertyshark.com,2003-01-01,NY,USA,Company,ecommerce,,1,real estate,51 - 200,27,500,3.29389746419802e-07
194,c:104398,Visma,visma.com,,,NOR,Company,software,,,information technology and services,5001 - 10000,2673,5000,1.03131624498808e-06
195,c:104412,MingJian,mingjian.cn,2010-03-15,,CHN,Company,web,,1,information technology and services,1 - 10,2,1,1.43802114071302e-08
197,c:104420,TempWorks,tempworks.com,1997-03-14,,,Company,enterprise,,,staffing and recruiting,51 - 200,98,50,3.92547267470694e-07
198,c:104428,interRel Consulting,interrel.com,,TX,USA,Company,,,1,information technology and services,51 - 200,51,1,4.46851196194922e-08
199,c:10444,HexaCorp,hexacorp.com,2001-08-14,NJ,USA,Company,software,,,information technology and services,51 - 200,82,50,1.64329840749867e-08
200,c:104492,amoCRM,amocrm.com,2004-01-01,CA,USA,Company,software,,1,internet,51 - 200,39,50,1.77121739549496e-07
201,c:104517,Dolcera,dolcera.com,2004-04-01,CA,USA,Company,consulting,,1,information services,201 - 500,96,1,1.87160388560181e-08
202,c:10453,Bankrate,bankrate.com,1993-01-01,FL,USA,Company,web,,3,internet,201 - 500,131,500,1.07831418035001e-05
203,c:104543,ORAMA,orama.com.br,2011-07-29,,BRA,Company,other,,,investment management,51 - 200,53,1,1.01439244157176e-07
204,c:104545,ROKKAN,rokkan.com,2000-09-01,,,Company,advertising,,,marketing and advertising,201 - 500,105,50,7.37488512404655e-08
205,c:10455,AKQA,akqa.com,1995-01-01,CA,USA,Company,advertising,,2,marketing and advertising,1001 - 5000,1489,1000,1.08798463497317e-06
206,c:104585,Aequor Technologies,aequor.com,,NJ,USA,Company,consulting,,1,information technology and services,201 - 500,160,200,3.42931022363443e-08
207,c:104594,JetSuite,jetsuite.com,,CA,USA,Company,transportation,7000000,,airlines/aviation,201 - 500,110,50,1.0202395088905e-07
209,c:104596,Latin Trade Group,latintrade.com,,FL,USA,Company,other,,2,publishing,11 - 50,23,1,1.67698872373e-07
210,c:104607,The Rainmaker Group,letitrain.com,,GA,USA,Company,software,42800000,2,computer software,51 - 200,94,50,1.1821597738444601e-07
211,c:104619,TargetRx,targetrx.com,1999-01-01,PA,USA,Company,,,1,pharmaceuticals,51 - 200,28,50,8.669012454310059e-09
212,c:104638,36 kr,36kr.com,2010-11-01,,CHN,Company,public_relations,,,internet,201 - 500,151,200,2.38437183444597e-06
213,c:10475,Abbott Labs,abbott.com,1991-01-01,IL,USA,Company,biotech,100000,2,hospital & health care,10001+,35603,10000,2.77270895545878e-06
214,c:31960,Solvay Pharmaceuticals,abbott.com,1980-01-01,,MMR,Company,biotech,,1,hospital & health care,10001+,35603,10000,2.77270895545878e-06
215,c:104756,WMC Global,wmcglobal.com,2006-11-01,DC,USA,Company,mobile,,1,wireless,51 - 200,27,50,1.3556005044277102e-07
216,c:104760,Mallstreet,mallstreet.ru,2009-08-12,,,Company,ecommerce,,,retail,1 - 10,3,1,1.72145829383766e-08
218,c:104815,M-Files,m-files.com,2001-01-01,TX,USA,Company,software,7843200,2,computer software,201 - 500,225,200,3.8283431191535295e-07
219,c:104817,Sound Telecom,sound-tele.com,,,,Company,public_relations,,,telecommunications,11 - 50,16,200,2.5648981308934e-08
220,c:104828,Arxspan,arxspan.com,2009-01-01,MA,USA,Company,software,,,computer software,11 - 50,8,1,1.59358749205803e-08
221,c:10485,GE Healthcare,gehealthcare.com,,,,Company,biotech,,2,hospital & health care,10001+,32636,5000,2.53186270434041e-06
222,c:104890,T3 Advisors,t3advisors.com,2001-08-01,MA,USA,Company,consulting,,,commercial real estate,51 - 200,36,1,2.4983822783316803e-08
223,c:104896,BSAVI Financial Services t/a moneysmart,moneysmart.co.za,2010-08-01,,,Company,web,,,financial services,1 - 10,1,1,1.70106526572434e-08
224,c:104908,Punchh,punchh.com,2010-01-01,CA,USA,Company,mobile,4000000,2,internet,201 - 500,111,200,9.81644953690015e-07
225,c:104923,KNO Clothing,knoclothing.com,2010-11-28,,,Company,ecommerce,,1,apparel & fashion,1 - 10,3,1,1.33098701124803e-08
226,c:104927,ReconArt,reconart.com,2008-01-01,,,Company,software,,,computer software,11 - 50,25,1,1.3555950430307e-08
227,c:104928,Chessapeake,chk.com,,,USA,Company,,,,oil & energy,5001 - 10000,2563,1000,3.2306164365398505e-07
228,c:104983,Milk A Deal,milkadeal.com,2011-01-01,,MYS,Company,web,165000,,marketing and advertising,11 - 50,5,1,2.49404372390048e-08
229,c:104988,EmPower Research,empowerresearch.com,,NY,USA,Company,,,,research,51 - 200,94,500,1.6376652536467298e-08
230,c:105008,Base79,base79.com,2007-06-28,,GBR,Company,advertising,14345753,,internet,1 - 10,0,1,3.63795447438038e-08
231,c:105055,Blend360 Communications,blend360agency.com,,,CAN,Company,public_relations,,,marketing and advertising,1 - 10,2,1,1.1625734407865401e-08
232,c:105059,Crystal Ball Ltd,crystalball.tv,2005-01-01,,GBR,Company,mobile,,,telecommunications,11 - 50,16,1,3.11783494091632e-08
233,c:105066,Outsmart Norge,outsmart.no,2005-01-01,,NOR,Company,other,,1,outsourcing/offshoring,11 - 50,7,1,4.75065222966283e-09
234,c:105067,Box It,boxit.co.uk,,,,Company,security,,,information technology and services,51 - 200,40,50,8.77493733886898e-08
235,c:10507,RealEstate.com,realestate.com,2003-01-01,NC,USA,Company,other,,,real estate,201 - 500,190,1,3.7065987459884e-07
236,c:105095,Career Step,careerstep.com,,,,Company,other,,,e-learning,201 - 500,120,50,1.92411520543391e-07
237,c:105096,Electrosonic,electrosonic.com,,CA,USA,Company,,,1,information technology and services,501 - 1000,334,500,1.1458724166707199e-07
238,c:10511,Billdesk,billdesk.com,2000-01-01,,IND,Company,web,,,information technology and services,201 - 500,149,200,4.9392775432591e-07
239,c:44877,IndiaIdeas,billdesk.com,,,IND,Company,,7500000,,information technology and services,201 - 500,149,200,4.9392775432591e-07
240,c:105139,Overit,overit.com,1993-01-01,NY,USA,Company,advertising,,1,marketing and advertising,51 - 200,34,1,1.00953066460377e-06
241,c:157883,Overit Media,overit.com,1993-01-01,NY,USA,Company,public_relations,,1,marketing and advertising,51 - 200,34,1,1.00953066460377e-06
242,c:105192,FranchiseHelp,franchisehelp.com,2010-01-01,NY,USA,Company,web,,1,internet,11 - 50,7,1,7.4066398471495e-07
243,c:105203,WebDevStudios,webdevstudios.com,2001-01-01,NJ,USA,Company,consulting,,,internet,11 - 50,20,1,1.32745914085368e-06
244,c:105231,AC Lion,aclion.com,1996-01-05,NY,USA,Company,other,,2,staffing and recruiting,51 - 200,35,50,4.4624631060680893e-08
245,c:10526,Anagran,anagran.com,2004-01-01,CA,USA,Company,network_hosting,22600000,1,information technology and services,1 - 10,4,50,3.4900381912528904e-08
246,c:105267,Droisys,droisys.com,2003-02-02,CA,USA,Company,consulting,,2,computer software,201 - 500,152,200,7.413134446701228e-09
247,c:1053,Uptake,uptake.com,2008-01-01,CA,USA,Company,web,14000000,4,computer software,501 - 1000,455,500,4.3814725509286497e-07
249,c:105315,Gamerizon Studio,gamerizon.com,,,CAN,Company,games_video,5000000,1,computer games,1 - 10,5,1,2.5088576601191098e-08
250,c:105319,Smartlogic Semaphore,smartlogic.com,,,GBR,Company,software,,,computer software,51 - 200,30,1,1.4861923621735802e-07
251,c:105320,Papersmart,papersmart.de,,,,Company,ecommerce,,,internet,1 - 10,2,1,2.1486109875456e-08
252,c:105346,GKB Online,gkboptical.com,2011-03-01,,IND,Company,ecommerce,,2,retail,201 - 500,138,1000,1.58846145845719e-08
253,c:105362,RedQuadrant,redquadrant.com,2009-06-25,,GBR,Company,consulting,,1,management consulting,51 - 200,48,50,2.97672487144841e-08
